concurso,acutotal,vsaparecer,somatotal,sorteado
123,76,1,222,no
124,77,0,203,yes
125,78,0,187,yes
126,79,0,184,yes
127,80,0,175,yes
128,81,0,209,yes
129,82,0,216,yes
130,83,0,187,yes
131,84,0,192,yes
132,84,1,182,no
133,84,2,192,no
134,84,3,183,no
135,85,0,200,yes
136,86,0,187,yes
137,87,0,207,yes
138,88,0,193,yes
139,89,0,220,yes
140,90,0,199,yes
141,90,1,202,no
142,91,0,188,yes
143,92,0,226,yes
144,93,0,208,yes
145,94,0,204,yes
146,95,0,203,yes
147,96,0,190,yes
148,97,0,199,yes
149,98,0,223,yes
150,98,1,198,no
151,98,2,189,no
152,98,3,211,no
153,99,0,204,yes
154,100,0,170,yes
155,101,0,209,yes
156,101,1,184,no
157,102,0,188,yes
158,103,0,209,yes
159,104,0,165,yes
160,104,1,196,no
161,104,2,239,no
162,105,0,166,yes
163,106,0,188,yes
164,107,0,183,yes
165,108,0,185,yes
166,109,0,201,yes
167,110,0,188,yes
168,111,0,195,yes
169,111,1,169,no
170,111,2,181,no
171,111,3,217,no
172,112,0,181,yes
173,113,0,209,yes
174,114,0,193,yes
175,115,0,186,yes
176,116,0,233,yes
177,117,0,212,yes
178,118,0,204,yes
179,119,0,202,yes
180,120,0,158,yes
181,120,1,198,no
182,121,0,198,yes
183,122,0,213,yes
184,122,1,203,no
185,123,0,179,yes
186,124,0,217,yes
187,124,1,240,no
188,125,0,222,yes
189,126,0,189,yes
190,126,1,181,no
191,127,0,214,yes
192,128,0,180,yes
193,129,0,172,yes
194,130,0,216,yes
195,131,0,175,yes
196,132,0,219,yes
197,132,1,181,no
198,133,0,184,yes
199,134,0,173,yes
200,135,0,178,yes
201,136,0,165,yes
202,136,1,217,no
203,137,0,174,yes
204,138,0,196,yes
205,139,0,199,yes
206,140,0,188,yes
207,141,0,167,yes
208,141,1,174,no
209,141,2,199,no
210,141,3,211,no
211,142,0,190,yes
212,142,1,178,no
213,142,2,197,no
214,143,0,200,yes
215,143,1,183,no
216,144,0,176,yes
217,145,0,167,yes
218,146,0,208,yes
219,147,0,217,yes
220,147,1,242,no
221,148,0,190,yes
222,148,1,178,no
223,149,0,208,yes
224,149,1,213,no
225,150,0,195,yes
226,150,1,216,no
227,150,2,198,no
228,151,0,220,yes
229,152,0,201,yes
230,153,0,155,yes
231,154,0,198,yes
232,154,1,218,no
233,155,0,141,yes
234,156,0,173,yes
235,156,1,236,no
236,156,2,184,no
237,156,3,210,no
238,156,4,203,no
239,156,5,188,no
240,157,0,198,yes
241,157,1,213,no
242,158,0,208,yes
243,159,0,187,yes
244,159,1,197,no
245,160,0,189,yes
246,160,1,189,no
247,161,0,185,yes
248,162,0,187,yes
249,162,1,210,no
250,163,0,184,yes
251,163,1,209,no
252,164,0,211,yes
253,164,1,185,no
254,165,0,156,yes
255,166,0,187,yes
256,167,0,183,yes
257,167,1,191,no
258,168,0,213,yes
259,168,1,212,no
260,168,2,162,no
261,169,0,182,yes
262,169,1,196,no
263,169,2,200,no
264,169,3,202,no
265,169,4,208,no
266,169,5,179,no
267,170,0,179,yes
268,170,1,207,no
269,171,0,204,yes
270,171,1,182,no
271,172,0,192,yes
272,173,0,189,yes
273,173,1,216,no
274,174,0,192,yes
275,174,1,171,no
276,175,0,188,yes
277,176,0,223,yes
278,177,0,182,yes
279,178,0,171,yes
280,178,1,197,no
281,179,0,173,yes
282,180,0,198,yes
283,181,0,184,yes
284,181,1,200,no
285,181,2,182,no
286,182,0,184,yes
287,183,0,212,yes
288,184,0,175,yes
289,185,0,166,yes
290,186,0,183,yes
291,187,0,182,yes
292,188,0,195,yes
293,189,0,206,yes
294,190,0,176,yes
295,191,0,216,yes
296,192,0,195,yes
297,192,1,211,no
298,192,2,177,no
299,192,3,216,no
300,192,4,216,no
301,193,0,206,yes
302,194,0,189,yes
303,195,0,211,yes
304,195,1,212,no
305,196,0,198,yes
306,197,0,183,yes
307,197,1,198,no
308,198,0,220,yes
309,199,0,184,yes
310,200,0,207,yes
311,201,0,213,yes
312,202,0,189,yes
313,203,0,196,yes
314,204,0,178,yes
315,205,0,202,yes
316,205,1,177,no
317,206,0,199,yes
318,206,1,195,no
319,206,2,186,no
320,206,3,216,no
321,207,0,198,yes
322,208,0,197,yes
323,209,0,181,yes
324,210,0,166,yes
325,211,0,197,yes
326,212,0,173,yes
327,213,0,186,yes
328,214,0,217,yes
329,215,0,202,yes
330,216,0,212,yes
331,216,1,206,no
332,217,0,202,yes
333,218,0,191,yes
334,219,0,205,yes
335,219,1,168,no
336,220,0,174,yes
337,220,1,168,no
338,220,2,193,no
339,221,0,217,yes
340,222,0,179,yes
341,222,1,223,no
342,222,2,213,no
343,222,3,207,no
344,222,4,194,no
345,223,0,236,yes
346,224,0,179,yes
347,224,1,200,no
348,225,0,215,yes
349,226,0,210,yes
350,227,0,164,yes
351,228,0,182,yes
352,229,0,185,yes
353,230,0,205,yes
354,231,0,189,yes
355,232,0,182,yes
356,233,0,209,yes
357,234,0,184,yes
358,235,0,206,yes
359,235,1,227,no
360,236,0,171,yes
361,236,1,204,no
362,237,0,167,yes
363,238,0,190,yes
364,239,0,188,yes
